Codename,Pie Installs,Oreo Installs,Total,Unnamed: 4
z2_plus,10224,1758,11982,
whyred,9686,314,10000,
santoni,5570,3592,9162,
potter,8863,256,9119,
mido,7923,251,8174,
athene,7095,0,7095,
kenzo,5749,523,6272,
tissot,5049,0,5049,
bacon,4618,0,4618,
treble,3899,545,4444,
markw,3866,0,3866,
s2,3155,333,3488,
vince,3097,192,3289,
oxygen,2660,37,2697,
sanders,2100,285,2385,
oneplus3,2119,228,2347,
land,1758,140,1898,
gemini,1622,0,1622,
zenfone3,1053,115,1168,
kiwi,636,495,1131,
X00TD,773,94,867,
oneplus2,831,0,831,
beryllium,762,37,799,
polaris,711,0,711,
rolex,490,132,622,
dumpling,485,0,485,
sagit,408,9,417,
cheeseburger,392,0,392,
jason,343,3,346,
x2,300,0,300,
enchilada,288,0,288,
hlte,286,0,286,
kuntao,279,6,285,
hydrogen,203,0,203,
A6020,0,168,168,
libra,164,0,164,
ks01ltexx,139,0,139,
chiron,119,0,119,
jalebi,112,0,112,
X01BD,109,0,109,
lithium,109,0,109,
helium,106,0,106,
nx512j,16,82,98,
cancro,79,1,80,
hltetmo,70,0,70,
perseus,60,0,60,
dipper,55,0,55,
cedric,29,21,50,
albus,0,47,47,
scale,0,45,45,
ham,33,0,33,
lizard,0,33,33,
rosy,9,22,31,
fajita,30,0,30,
wt88047,0,30,30,
hltekor,25,0,25,
rimo02a,21,0,21,
hltechn,21,0,21,
wayne,0,19,19,
z3tc,0,18,18,
marlin,15,0,15,
payton,14,0,14,
hi6250,13,0,13,
X00T,13,0,13,
mata,12,0,12,
z3tcw,0,11,11,
klte,10,0,10,
tiffany,10,0,10,
riva,8,0,8,
m8,5,2,7,
serranovelte,5,1,6,
chef,5,0,5,
Z00T,5,0,5,
honami,0,5,5,
harpia,4,0,4,
Z00L,4,0,4,
,3,0,3,
G36C1H,1,1,2,
osprey,1,1,2,
v2.0_markw,1,0,1,
santoni_userdebug,1,0,1,
pme,1,0,1,
oneplus6,1,0,1,
shamrock,1,0,1,
x,1,0,1,
crackling,0,1,1,
clover,1,0,1,
JTAHolic,1,0,1,
santoni_port_from_mido,1,0,1,
herolte,0,1,1,
rendang,1,0,1,
h811,0,1,1,
GSI,566,93,659,
